borough,childcare_per_100
Barking and Dagenham,19.470513266133704
Barnet,30.810900219162225
Bexley,33.63204708085334
Brent,22.924161749892072
Bromley,43.36990094791778
Camden,33.078316891483794
City of London,160.0
Croydon,28.797054981593632
Ealing,25.7238716793823
Enfield,24.764069371016355
Greenwich,32.10549023837774
Hackney,33.78469871360867
Hammersmith and Fulham,32.88946627692974
Haringey,29.46798556342735
Harrow,30.340404538727185
Havering,29.673304855303535
Hillingdon,24.91592197559335
Hounslow,25.968523002421307
Islington,35.26578996110391
Kensington and Chelsea,32.134659525631214
Kingston upon Thames,38.35085777531821
Lambeth,39.63631391851244
Lewisham,36.811626482543566
Merton,33.7782892213272
Newham,20.115844093157957
Redbridge,27.504756601234398
Richmond upon Thames,49.04784920251329
Southwark,32.48695430826015
Sutton,31.184420381096285
Tower Hamlets,22.101625357740698
Waltham Forest,28.165811875429597
Wandsworth,37.18455123985078
Westminster,33.30792682926829
