borough,ethnic_diversity
Barking and Dagenham,0.8401116746010286
Barnet,0.809814233179589
Bexley,0.5678312518592488
Brent,0.887175992091275
Bromley,0.5452336837457992
Camden,0.812638166924031
Croydon,0.8190376461838909
Ealing,0.8708876936464549
Enfield,0.834853828751722
Greenwich,0.7810269417746278
Hackney,0.828400955708924
Hammersmith and Fulham,0.7932920223696177
Haringey,0.82513190380608
Harrow,0.838899098819757
Havering,0.5452648927773052
Hillingdon,0.8048935549366527
Hounslow,0.838670494445012
Islington,0.7902259734274575
Kensington and Chelsea,0.7996003857619257
Kingston upon Thames,0.6827581674096697
Lambeth,0.8079853855327109
Lewisham,0.8123023295078468
Merton,0.7862434497794708
Newham,0.8913827637336651
Redbridge,0.8691695924853509
Richmond upon Thames,0.5764859992716489
Southwark,0.8195648739547197
Sutton,0.651996421997211
Tower Hamlets,0.7992835959672664
Waltham Forest,0.8302382852771482
Wandsworth,0.7313677786450736
Westminster,0.8407915479312462
