la_code,borough,fsm
E09000002,Barking and Dagenham,31.2
E09000003,Barnet,24.46
E09000004,Bexley,22.76
E09000005,Brent,24.31
E09000006,Bromley,18.29
E09000007,Camden,46.67
E09000008,Croydon,34.66
E09000009,Ealing,29.54
E09000010,Enfield,33.5
E09000011,Greenwich,33.09
E09000012,Hackney,44.66
E09000013,Hammersmith and Fulham,34.5
E09000014,Haringey,31.09
E09000015,Harrow,19.55
E09000016,Havering,21.71
E09000017,Hillingdon,25.28
E09000018,Hounslow,26.28
E09000019,Islington,49.69
E09000020,Kensington and Chelsea,36.36
E09000021,Kingston upon Thames,16.41
E09000022,Lambeth,42.63
E09000023,Lewisham,31.88
E09000024,Merton,28.4
E09000025,Newham,38.58
E09000026,Redbridge,19.03
E09000027,Richmond upon Thames,15.06
E09000028,Southwark,40.93
E09000029,Sutton,19.0
E09000030,Tower Hamlets,46.45
E09000031,Waltham Forest,28.91
E09000032,Wandsworth,32.1
E09000033,Westminster,42.68
