la_code,borough,gld
E09000007,Camden,68.300000
E09000012,Hackney,69.500000
E09000013,Hammersmith and Fulham,66.900000
E09000014,Haringey,73.200000
E09000019,Islington,66.600000
E09000020,Kensington and Chelsea,68.100000
E09000022,Lambeth,67.200000
E09000023,Lewisham,69.700000
E09000025,Newham,70.500000
E09000028,Southwark,69.900000
E09000030,Tower Hamlets,65.200000
E09000032,Wandsworth,71.900000
E09000033,Westminster,65.700000
E09000002,Barking and Dagenham,65.200000
E09000003,Barnet,70.400000
E09000004,Bexley,71.300000
E09000005,Brent,66.300000
E09000006,Bromley,72.300000
E09000008,Croydon,69.100000
E09000009,Ealing,68.400000
E09000010,Enfield,65.200000
E09000011,Greenwich,70.100000
E09000015,Harrow,68.200000
E09000016,Havering,64.800000
E09000017,Hillingdon,68.700000
E09000018,Hounslow,66.700000
E09000021,Kingston upon Thames,72.100000
E09000024,Merton,69.100000
E09000026,Redbridge,70.500000
E09000027,Richmond upon Thames,75.600000
E09000029,Sutton,68.300000
E09000031,Waltham Forest,74.400000
