la_code,borough,gld,fsm
E09000007,Camden,68.3,46.67
E09000012,Hackney,69.5,44.66
E09000013,Hammersmith and Fulham,66.9,34.5
E09000014,Haringey,73.2,31.09
E09000019,Islington,66.6,49.69
E09000020,Kensington and Chelsea,68.1,36.36
E09000022,Lambeth,67.2,42.63
E09000023,Lewisham,69.7,31.88
E09000025,Newham,70.5,38.58
E09000028,Southwark,69.9,40.93
E09000030,Tower Hamlets,65.2,46.45
E09000032,Wandsworth,71.9,32.1
E09000033,Westminster,65.7,42.68
E09000002,Barking and Dagenham,65.2,31.2
E09000003,Barnet,70.4,24.46
E09000004,Bexley,71.3,22.76
E09000005,Brent,66.3,24.31
E09000006,Bromley,72.3,18.29
E09000008,Croydon,69.1,34.66
E09000009,Ealing,68.4,29.54
E09000010,Enfield,65.2,33.5
E09000011,Greenwich,70.1,33.09
E09000015,Harrow,68.2,19.55
E09000016,Havering,64.8,21.71
E09000017,Hillingdon,68.7,25.28
E09000018,Hounslow,66.7,26.28
E09000021,Kingston upon Thames,72.1,16.41
E09000024,Merton,69.1,28.4
E09000026,Redbridge,70.5,19.03
E09000027,Richmond upon Thames,75.6,15.06
E09000029,Sutton,68.3,19.0
E09000031,Waltham Forest,74.4,28.91
