la_code,borough,gld,fsm,sen
E09000007,Camden,68.3,46.67,17.68199233716
E09000012,Hackney,69.5,44.66,19.18361817894
E09000013,Hammersmith and Fulham,66.9,34.5,17.61078711786
E09000014,Haringey,73.2,31.09,17.62957679505
E09000019,Islington,66.6,49.69,22.21998712583
E09000020,Kensington and Chelsea,68.1,36.36,16.48423194302
E09000022,Lambeth,67.2,42.63,19.63990493903
E09000023,Lewisham,69.7,31.88,19.7542790617
E09000025,Newham,70.5,38.58,13.27476669604
E09000028,Southwark,69.9,40.93,18.8153167864
E09000030,Tower Hamlets,65.2,46.45,18.33323064916
E09000032,Wandsworth,71.9,32.1,19.733438048590003
E09000033,Westminster,65.7,42.68,17.81250998817
E09000002,Barking and Dagenham,65.2,31.2,15.7348627468
E09000003,Barnet,70.4,24.46,14.82493909692
E09000004,Bexley,71.3,22.76,14.86294736367
E09000005,Brent,66.3,24.31,15.00670029953
E09000006,Bromley,72.3,18.29,17.20987527587
E09000008,Croydon,69.1,34.66,17.835786917580002
E09000009,Ealing,68.4,29.54,15.68067114542
E09000010,Enfield,65.2,33.5,16.39795653302
E09000011,Greenwich,70.1,33.09,19.81549815497
E09000015,Harrow,68.2,19.55,13.86468181502
E09000016,Havering,64.8,21.71,12.52649970878
E09000017,Hillingdon,68.7,25.28,15.53925753008
E09000018,Hounslow,66.7,26.28,18.08559024188
E09000021,Kingston upon Thames,72.1,16.41,15.57184564609
E09000024,Merton,69.1,28.4,19.2016370411
E09000026,Redbridge,70.5,19.03,13.35849423351
E09000027,Richmond upon Thames,75.6,15.06,14.21851289832
E09000029,Sutton,68.3,19.0,13.77906029647
E09000031,Waltham Forest,74.4,28.91,16.62385812877
