borough,la_code,average_house_price
Barking and Dagenham,E09000002,359035
Barnet,E09000003,610700
Bexley,E09000004,406701
Brent,E09000005,561593
Bromley,E09000006,519617
Camden,E09000007,863493
Croydon,E09000008,399955
Ealing,E09000009,575512
Enfield,E09000010,471341
Greenwich,E09000011,466188
Hackney,E09000012,618385
Hammersmith and Fulham,E09000013,790884
Haringey,E09000014,635522
Harrow,E09000015,535213
Havering,E09000016,441417
Hillingdon,E09000017,474336
Hounslow,E09000018,523166
Islington,E09000019,700374
Kensington and Chelsea,E09000020,1359067
Kingston upon Thames,E09000021,575002
Lambeth,E09000022,560778
Lewisham,E09000023,492130
Merton,E09000024,618372
Newham,E09000025,409996
Redbridge,E09000026,493096
Richmond upon Thames,E09000027,810907
Southwark,E09000028,582767
Sutton,E09000029,449740
Tower Hamlets,E09000030,509257
Waltham Forest,E09000031,518946
Wandsworth,E09000032,710589
Westminster,E09000033,1010382
