la_code,borough,idaci
E09000002,Barking and Dagenham,0.2339909090909091
E09000003,Barnet,0.121260663507109
E09000004,Bexley,0.1437260273972603
E09000005,Brent,0.17434682080924854
E09000006,Bromley,0.11947208121827411
E09000007,Camden,0.1822406015037594
E09000008,Croydon,0.1691272727272727
E09000009,Ealing,0.16037244897959183
E09000010,Enfield,0.2071256830601093
E09000011,Greenwich,0.20074834437086092
E09000012,Hackney,0.25538194444444445
E09000013,Hammersmith and Fulham,0.18193805309734515
E09000014,Haringey,0.20132413793103449
E09000015,Harrow,0.11754744525547445
E09000016,Havering,0.14444
E09000017,Hillingdon,0.1454968944099379
E09000018,Hounslow,0.16369718309859155
E09000019,Islington,0.26819512195121953
E09000020,Kensington and Chelsea,0.12564077669902912
E09000021,Kingston upon Thames,0.09876530612244898
E09000022,Lambeth,0.2267752808988764
E09000023,Lewisham,0.2255266272189349
E09000024,Merton,0.12411290322580645
E09000025,Newham,0.19984756097560974
E09000026,Redbridge,0.12842236024844722
E09000027,Richmond upon Thames,0.06914782608695652
E09000028,Southwark,0.2331686746987952
E09000029,Sutton,0.11686776859504132
E09000030,Tower Hamlets,0.2551597222222222
E09000031,Waltham Forest,0.1866388888888889
E09000032,Wandsworth,0.14974301675977653
E09000033,Westminster,0.1620546875
