la_code,borough,gld,fsm,sen,idaci,ofsted,total_places,under5,childcare_per_100,ethnic_diversity,average_house_price
E09000007,Camden,68.3,46.67,17.68199233716,0.1822406015037594,1.2076632916418504,5037,9934,50.70465069458425,0.812638166924031,863493
E09000012,Hackney,69.5,44.66,19.18361817894,0.2553819444444444,1.2417101906959795,8233,16247,50.673970579183845,0.828400955708924,618385
E09000013,Hammersmith and Fulham,66.9,34.5,17.61078711786,0.1819380530973451,1.201558778956484,4619,9237,50.00541301288297,0.7932920223696177,790884
E09000014,Haringey,73.2,31.09,17.62957679505,0.2013241379310344,1.5421052631578946,5700,14962,38.096511161609406,0.82513190380608,635522
E09000019,Islington,66.6,49.69,22.21998712583,0.2681951219512195,1.310099846390169,5208,10798,48.23115391739211,0.7902259734274575,700374
E09000020,Kensington and Chelsea,68.1,36.36,16.48423194302,0.1256407766990291,1.143884892086331,3058,6535,46.79418515684775,0.7996003857619257,1359067
E09000022,Lambeth,67.2,42.63,19.63990493903,0.2267752808988764,1.371418295168445,8341,14628,57.02078206179929,0.8079853855327109,560778
E09000023,Lewisham,69.7,31.88,19.7542790617,0.2255266272189349,1.3721844453888652,9412,17959,52.40826326632886,0.8123023295078468,492130
E09000025,Newham,70.5,38.58,13.27476669604,0.1998475609756097,1.5894432857372052,6233,24861,25.07139696713728,0.8913827637336651,409996
E09000028,Southwark,69.9,40.93,18.8153167864,0.2331686746987952,1.4287289771160738,7254,15714,46.16265750286369,0.8195648739547197,582767
E09000030,Tower Hamlets,65.2,46.45,18.33323064916,0.2551597222222222,1.4215651558073654,5648,18519,30.498407041416925,0.7992835959672664,509257
E09000032,Wandsworth,71.9,32.1,19.733438048590003,0.1497430167597765,1.1575244795132618,10519,18228,57.70792187842879,0.7313677786450736,710589
E09000033,Westminster,65.7,42.68,17.81250998817,0.1620546875,1.349155069582505,4024,9184,43.815331010452965,0.8407915479312462,1010382
E09000002,Barking and Dagenham,65.2,31.2,15.7348627468,0.2339909090909091,1.3953823953823954,4851,17262,28.10218978102189,0.8401116746010286,359035
E09000003,Barnet,70.4,24.46,14.82493909692,0.121260663507109,1.3221659159159158,10656,24183,44.06401190919241,0.809814233179589,610700
E09000004,Bexley,71.3,22.76,14.86294736367,0.1437260273972603,1.4522717182181442,6757,14953,45.18825653714973,0.5678312518592488,406701
E09000005,Brent,66.3,24.31,15.00670029953,0.1743468208092485,1.552728436549848,6249,20847,29.97553604835228,0.887175992091275,561593
E09000006,Bromley,72.3,18.29,17.20987527587,0.1194720812182741,1.260751317355091,11766,18778,62.65843007775056,0.5452336837457992,519617
E09000008,Croydon,69.1,34.66,17.835786917580002,0.1691272727272727,1.4630131680867544,10328,25263,40.88192217868029,0.8190376461838909,399955
E09000009,Ealing,68.4,29.54,15.68067114542,0.1603724489795918,1.2792749821130456,8386,21758,38.54214541777737,0.8708876936464549,575512
E09000010,Enfield,65.2,33.5,16.39795653302,0.2071256830601093,1.3717194894593432,6973,20239,34.45328326498345,0.834853828751722,471341
E09000011,Greenwich,70.1,33.09,19.81549815497,0.2007483443708609,1.3409344958640734,8946,18542,48.2472225218423,0.7810269417746278,466188
E09000015,Harrow,68.2,19.55,13.86468181502,0.1175474452554744,1.5448319796145884,6279,16216,38.72101628021707,0.838899098819757,535213
E09000016,Havering,64.8,21.71,12.52649970878,0.14444,1.17440543601359,7947,16621,47.81300764093616,0.5452648927773052,441417
E09000017,Hillingdon,68.7,25.28,15.53925753008,0.1454968944099379,1.3512201698800057,7417,20814,35.634668972806764,0.8048935549366527,474336
E09000018,Hounslow,66.7,26.28,18.08559024188,0.1636971830985915,1.4778292521508936,6044,18172,33.25996037860445,0.838670494445012,523166
E09000021,Kingston upon Thames,72.1,16.41,15.57184564609,0.0987653061224489,1.4029754204398448,4638,9035,51.33370226895406,0.6827581674096697,575002
E09000024,Merton,69.1,28.4,19.2016370411,0.1241129032258064,1.3944040467910213,6326,13035,48.530878404296125,0.7862434497794708,618372
E09000026,Redbridge,70.5,19.03,13.35849423351,0.1284223602484472,1.4170591979630809,7855,21549,36.45180750846907,0.8691695924853509,493096
E09000027,Richmond upon Thames,75.6,15.06,14.21851289832,0.0691478260869565,1.168957055214724,8150,10345,78.78202029966167,0.5764859992716489,810907
E09000029,Sutton,68.3,19.0,13.77906029647,0.1168677685950413,1.369924812030075,5320,11913,44.65709728867623,0.651996421997211,449740
E09000031,Waltham Forest,74.4,28.91,16.62385812877,0.1866388888888889,1.534653465346535,6868,18913,36.31364669803839,0.8302382852771482,518946
