borough,ofsted,inspection_coverage
Barking and Dagenham,2.9860160666468314,0.6928468357039785
Barnet,3.1091128707556033,0.6992304804804805
Bexley,3.048717438854643,0.7442652064525677
Brent,2.9696589244611844,0.7647623619779165
Bromley,3.178536345776031,0.6921638619751828
Camden,3.1488131466828975,0.6523724439150288
Croydon,2.9230240549828177,0.7043958171959721
Ealing,3.08325888869037,0.6674218936322442
Enfield,3.091580207501995,0.7187724078588843
Greenwich,2.984881572316479,0.6654370668455175
Hackney,3.1375478229185645,0.666707154135795
Hammersmith and Fulham,3.173140223831468,0.6577181208053692
Haringey,3.0063506464050804,0.7735087719298246
Harrow,3.0284552845528454,0.7835642618251314
Havering,3.1076642335766422,0.6206115515288788
Hillingdon,3.067489394523718,0.6992045301334772
Hounslow,3.107226107226107,0.7807743216412971
Islington,3.2082457983193278,0.7311827956989247
Kensington and Chelsea,3.3342857142857145,0.6867233485938522
Kingston upon Thames,3.122077922077922,0.7470892626131953
Lambeth,3.027078302863056,0.695120489149982
Lewisham,3.046437755256391,0.7024011899702507
Merton,2.9965932318873496,0.6960164400885236
Newham,3.0189962007598483,0.8023423712497995
Redbridge,3.121984140374557,0.754551241247613
Richmond upon Thames,3.1223886480094603,0.6225766871165644
Southwark,2.9698334965719884,0.7037496553625586
Sutton,3.0382234185733514,0.6983082706766918
Tower Hamlets,3.0383581724896165,0.7246813031161473
Waltham Forest,3.021400412990426,0.7756260920209668
Wandsworth,3.203599881971083,0.6443578286909402
Westminster,3.2252370055573714,0.7601888667992047
