borough,total_places
Barking and Dagenham,3361
Barnet,7451
Bexley,5029
Brent,4779
Bromley,8144
Camden,3286
City of London,344
Croydon,7275
Ealing,5597
Enfield,5012
Greenwich,5953
Hackney,5489
Hammersmith and Fulham,3038
Haringey,4409
Harrow,4920
Havering,4932
Hillingdon,5186
Hounslow,4719
Islington,3808
Kensington and Chelsea,2100
Kingston upon Thames,3465
Lambeth,5798
Lewisham,6611
Merton,4403
Newham,5001
Redbridge,5927
Richmond upon Thames,5074
Southwark,5105
Sutton,3715
Tower Hamlets,4093
Waltham Forest,5327
Wandsworth,6778
Westminster,3059
