borough,under5,total_pop
Camden,9934,220903
City of London,215,13462
Hackney,16247,263282
Hammersmith and Fulham,9237,186176
Haringey,14962,262895
Islington,10798,220584
Kensington and Chelsea,6535,147460
Lambeth,14628,315706
Lewisham,17959,298708
Newham,24861,362552
Southwark,15714,315519
Tower Hamlets,18519,328626
Wandsworth,18228,331456
Westminster,9184,211508
Barking and Dagenham,17262,222308
Barnet,24183,395007
Bexley,14953,250853
Brent,20847,344521
Bromley,18778,331162
Croydon,25263,397741
Ealing,21758,375340
Enfield,20239,327429
Greenwich,18542,294113
Harrow,16216,263448
Havering,16621,268145
Hillingdon,20814,319018
Hounslow,18172,295706
Kingston upon Thames,9035,170454
Merton,13035,215219
Redbridge,21549,313392
Richmond upon Thames,10345,195513
Sutton,11913,211123
Waltham Forest,18913,275980
