la_code,borough,sen
E09000002,Barking and Dagenham,15.7348627468
E09000003,Barnet,14.824939096920001
E09000004,Bexley,14.86294736367
E09000005,Brent,15.00670029953
E09000006,Bromley,17.20987527587
E09000007,Camden,17.68199233716
E09000001,City of London,11.48878314071
E09000008,Croydon,17.835786917580002
E09000009,Ealing,15.68067114542
E09000010,Enfield,16.39795653302
E09000011,Greenwich,19.81549815497
E09000012,Hackney,19.18361817894
E09000013,Hammersmith and Fulham,17.61078711786
E09000014,Haringey,17.62957679505
E09000015,Harrow,13.864681815019999
E09000016,Havering,12.52649970878
E09000017,Hillingdon,15.53925753008
E09000018,Hounslow,18.08559024188
E09000019,Islington,22.219987125830002
E09000020,Kensington and Chelsea,16.48423194302
E09000021,Kingston upon Thames,15.57184564609
E09000022,Lambeth,19.63990493903
E09000023,Lewisham,19.7542790617
E09000024,Merton,19.2016370411
E09000025,Newham,13.27476669604
E09000026,Redbridge,13.358494233510001
E09000027,Richmond upon Thames,14.21851289832
E09000028,Southwark,18.8153167864
E09000029,Sutton,13.77906029647
E09000030,Tower Hamlets,18.33323064916
E09000031,Waltham Forest,16.62385812877
E09000032,Wandsworth,19.733438048590003
E09000033,Westminster,17.81250998817
